"Tibia(last)-Femur(last,3rd, 5th)","Tibia(3rd_last)-Femur(last,3rd, 5th)","Tibia(5th_last)-Femur(last,3rd, 5th)","Tibia(last)-Background(last,3rd, 5th)","Tibia(3rd_last)-Background(last,3rd, 5th)","Tibia(5th_last)-Background(last,3rd, 5th)","Femur(last)-Background(last,3rd, 5th)","Femur(3rd_last)-Background(last,3rd, 5th)","Femur(5th_last)-Background(last,3rd, 5th)"
tensor([1.0000]),tensor([-0.0238]),tensor([0.0212]),tensor([0.8741]),tensor([0.0800]),tensor([0.1235]),tensor([0.8745]),tensor([0.0793]),tensor([0.1243])
tensor([-0.0254]),tensor([1.0000]),tensor([0.0363]),tensor([-0.0335]),tensor([0.7731]),tensor([-0.1158]),tensor([-0.0327]),tensor([0.7728]),tensor([-0.1151])
tensor([0.0225]),tensor([0.0387]),tensor([1.0000]),tensor([-0.0573]),tensor([0.1358]),tensor([0.9634]),tensor([-0.0576]),tensor([0.1352]),tensor([0.9640])
